first,last,pos,value,id,OBP,SLG,R,HR,RBI,SB,G,AB,H,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,age,years played,weight,height
David,Aardsma,P,0.0,aardsda01,0.0,0.0,0,0,0,0,33,1,0,0,0,0,0,1,0,0,0,0,0,34,11,220,75
Cristhian,Adames,SS,0.318293200714,adamecr01,0.2982456140350877,0.3018867924528302,4,0,3,0,26,53,13,1,1,1,3,11,1,1,1,0,0,24,1,185,72
Matt,Adams,1B,4.64309495091,adamsma01,0.27956989247311825,0.37714285714285717,14,5,24,1,60,175,42,9,0,0,10,41,1,0,0,1,1,27,3,260,75
Ehire,Adrianza,SS,0.869520410257,adriaeh01,0.30303030303030304,0.26548672566371684,11,0,11,3,52,113,21,7,1,2,15,20,0,4,2,0,2,26,2,170,73
Jeremy,Affeldt,P,0.0,affelje01,0.0,0.0,0,0,0,0,52,2,0,0,0,0,0,2,0,0,0,0,0,36,13,225,76
Nick,Ahmed,SS,10.2296354321,ahmedni01,0.2753303964757709,0.3586698337292161,49,9,34,4,134,421,95,17,6,5,29,81,1,1,5,3,4,25,1,195,74
Arismendy,Alcantara,3B,0.394978465719,alcanar01,0.22580645161290322,0.07692307692307693,5,0,1,1,11,26,2,0,0,0,5,11,0,0,1,0,0,24,1,170,70
Abraham,Almonte,OF,0.475458102466,almonab01,0.2711864406779661,0.25925925925925924,6,0,4,1,31,54,11,3,0,1,5,19,0,0,3,0,1,26,2,210,69
Yonder,Alonso,3B,7.47976264088,alonsyo01,0.36069651741293535,0.3813559322033898,50,5,31,2,103,354,100,18,1,5,42,48,3,3,0,3,13,28,5,230,73
Aaron,Altherr,OF,5.51088675352,altheaa01,0.3375,0.48905109489051096,25,5,22,6,39,137,33,11,4,2,16,41,0,5,1,2,3,24,1,215,77
Henderson,Alvarez,P,0.0837300040585,alvarhe01,0.3333333333333333,0.5,1,0,1,0,4,6,2,1,0,0,0,1,0,0,0,0,0,25,4,205,72
Pedro,Alvarez,1B,23.8278598197,alvarpe01,0.31771894093686354,0.4691075514874142,60,27,77,2,150,437,106,18,0,0,48,131,9,2,0,4,6,28,5,250,75
Alexi,Amarista,OF,4.33085144228,amarial01,0.2570621468926554,0.28703703703703703,28,3,30,5,118,324,66,10,4,1,24,55,4,1,3,5,6,26,4,160,66
Brett,Anderson,P,0.0799942312805,anderbr04,0.17307692307692307,0.10638297872340426,1,0,3,0,31,47,4,1,0,0,5,32,0,0,9,0,2,27,6,240,75
Chase,Anderson,P,0.00110744382185,anderch01,0.12244897959183673,0.10416666666666667,0,0,3,0,28,48,5,0,0,0,1,23,0,0,8,0,2,28,1,194,73
?,?,?,0.0,annade01,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,29,1,180,71
Nori,Aoki,OF,6.84940606577,aokino01,0.35294117647058826,0.38028169014084506,42,5,26,14,93,355,102,12,3,5,30,25,0,6,1,0,8,33,3,180,69
Elvis,Araujo,P,0.0,araujel01,0.0,0.0,0,0,0,0,40,1,0,0,0,0,0,1,0,0,0,0,0,24,0,270,79
Nolan,Arenado,3B,37.3528319477,arenano01,0.3233082706766917,0.5746753246753247,97,42,130,2,157,616,177,43,4,5,34,110,13,4,0,11,17,24,2,205,74
Joaquin,Arias,SS,1.10396653404,ariasjo01,0.20689655172413793,0.27586206896551724,5,1,4,1,40,58,12,1,0,0,0,12,0,0,1,0,1,31,9,165,73
Jake,Arrieta,P,1.81105967947,arrieja01,0.1625,0.26582278481012656,5,2,2,0,33,79,12,1,1,0,1,45,0,0,3,0,1,29,5,225,76
Cody,Asche,OF,11.72139767,ascheco01,0.29385964912280704,0.3952941176470588,41,12,39,1,129,425,104,22,3,2,26,111,3,4,0,1,4,25,2,200,73
Alec,Asher,P,0.00493806446633,asheral01,0.3333333333333333,0.5,0,0,0,0,7,6,2,1,0,0,0,3,0,0,0,0,0,24,0,230,76
Nevin,Ashley,C,0.159128916039,ashlene01,0.14285714285714285,0.15,2,0,1,0,12,20,2,1,0,0,0,8,0,1,0,0,0,31,0,215,73
Luis,Avilan,P,0.0,avilalu01,0.0,0.0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,26,3,220,74
Dylan,Axelrod,P,0.0,axelrdy01,0.0,0.0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,1,0,0,30,4,185,72
Burke,Badenhop,P,0.0,badenbu01,0.0,0.0,0,0,0,0,68,1,0,0,0,0,0,0,0,0,0,0,0,32,7,210,77
Javier,Baez,SS,1.02652321959,baezja01,0.325,0.40789473684210525,4,1,4,1,28,76,22,6,0,2,4,24,1,0,0,0,0,23,1,190,72
Homer,Bailey,P,0.0,baileho02,0.0,0.0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,29,8,225,76
Jeff,Baker,OF,2.99221533634,bakerje03,0.2875,0.375,11,3,8,0,41,72,15,3,0,0,8,25,0,0,0,0,0,34,10,220,74
Scott,Baker,P,0.0,bakersc02,0.0,0.0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,1,0,0,34,10,215,76
Collin,Balester,P,0.0,balesco01,0.0,0.0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,29,7,190,76
Manny,Banuelos,P,0.0,banuema01,0.0,0.0,0,0,0,0,7,3,0,0,0,0,0,1,0,0,4,0,0,24,0,205,70
Clint,Barmes,SS,4.01630167244,barmecl01,0.28054298642533937,0.3526570048309179,24,3,16,0,98,207,48,14,1,1,10,55,2,4,3,0,0,36,12,200,73
Austin,Barnes,3B,0.318155249495,barneau01,0.3611111111111111,0.27586206896551724,4,0,1,1,20,29,6,2,0,0,6,6,0,1,1,0,2,26,0,185,70
Brandon,Barnes,OF,3.78175311357,barnebr02,0.3142857142857143,0.3411764705882353,30,2,17,4,106,255,64,13,2,2,21,67,3,3,1,1,6,29,3,210,74
Darwin,Barney,SS,0.0,barneda01,0.0,0.0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,30,5,180,70
Tucker,Barnhart,OF,3.93734062007,barnhtu01,0.3235294117647059,0.32644628099173556,23,3,18,0,81,242,61,9,0,1,25,45,5,2,2,3,10,24,1,190,71
Antonio,Bastardo,P,0.0,bastaan01,0.0,0.0,0,0,0,0,66,2,0,0,0,0,0,2,0,0,0,0,0,30,6,205,71
